FIXNUMBER,OTTERNO,OTTERNAME,Date,SEX,AGE_CLASS,STATUS,ACTIV,BEHAV,TealeX,TealeY,NEAR_DIST,ATOS,REPRO_STATE,REPRO_SUCCESS,UP_INDEX,DEPTH
N-1346-08-S_-3101484096_37196,N-1346-08-S,4.994,11/8/09,1,4,l,i,r,-134278.5438,-225811.0786,255.921963,619.3720544,5,8,37,-4.7343
N-1346-08-S_-3101397696_36475,N-1346-08-S,4.994,11/9/09,1,4,l,i,r,-134250.1675,-226217.8813,272.361817,619.4788431,5,8,4,-9.9122
N-1346-08-S_-3101311296_45392,N-1346-08-S,4.994,11/10/09,1,4,l,a,f,-134592.6379,-225197.9855,313.553412,617.2600631,5,8,7,-8.759
N-1346-08-S_-3101224896_52797,N-1346-08-S,4.994,11/11/09,1,4,l,a,g,-134384.8383,-225822.2959,361.468115,619.4146715,5,8,32,-9.6606
N-1346-08-S_-3101138496_42840,N-1346-08-S,4.994,11/12/09,1,4,l,a,f,-134625.7508,-224978.672,256.727664,617.2358382,5,8,140,-7.1601
N-1346-08-S_-3101052096_38032,N-1346-08-S,4.994,11/13/09,1,4,l,a,i,-134380.03,-225843.0395,362.417115,619.3731615,5,8,94,-9.7684
N-1346-08-S_-3100879296_44619,N-1346-08-S,4.994,11/15/09,1,4,l,i,r,-134312.5145,-225863.214,306.426927,619.2952443,5,8,5,-7.1496
N-1346-08-S_-3100360896_35309,N-1346-08-S,4.994,11/21/09,1,4,l,a,f,-134335.7042,-225419.0452,197.121757,618.1005726,5,8,140,-4.5218
N-1346-08-S_-3100188096_48159,N-1346-08-S,4.994,11/23/09,1,4,l,a,f,-134630.7594,-224759.3568,137.07974,616.4298662,5,8,18,-1.9334
N-1346-08-S_-3099496896_59046,N-1346-08-S,4.994,12/1/09,1,4,l,i,r,-134244.6135,-226036.5139,269.620696,619.1685813,5,8,4,-7.2915
N-1346-08-S_-3099324096_44625,N-1346-08-S,4.994,12/3/09,1,4,f,i,r,-134292.5536,-226358.2227,344.555427,620.3029757,7,8,7,-12.456
