Depth,Distance,TealeX,TealeY,ATOScal
-44,1877.461162,-128750,-240911.5809,654.9911331
-39,1780.406168,-128650,-240911.5809,655.0785446
-39,1683.695884,-128550,-240911.5809,655.165956
-35,1587.393315,-128450,-240911.5809,655.2533675
-35,1491.577435,-128350,-240911.5809,655.3407789
-31,1396.225403,-128250,-240911.5809,655.4281903
-31,1301.3576,-128150,-240911.5809,655.5156018
-28,1207.318447,-128050,-240911.5809,655.6030132
-28,1114.317756,-127950,-240911.5809,655.6904247
-25,1022.638886,-127850,-240911.5809,655.7778361
-25,932.671711,-127750,-240911.5809,655.8652475
-22,844.784203,-127650,-240911.5809,655.952659
-22,752.263947,-127550,-240911.5809,656.0400704
-19,661.92276,-127450,-240911.5809,656.0212863
-19,574.789036,-127350,-240911.5809,656.1317719
-16,492.567894,-127250,-240911.5809,656.2422574
-16,417.04157,-127150,-240911.5809,656.352743
-11,346.432624,-127050,-240911.5809,656.4632286
-11,278.992634,-126950,-240911.5809,656.5737141
-5,203.390265,-126850,-240911.5809,656.6841997
-5,139.253793,-126750,-240911.5809,656.7946852
-1,72.648793,-126650,-240911.5809,656.9051708
-1,7.092815,-126550,-240911.5809,657.1750122
-44,1966.304353,-129050,-240811.5809,655.027122
-44,1934.953843,-128950,-240811.5809,655.0871781
-39,1908.032244,-128850,-240811.5809,655.1472341
-39,1854.758145,-128750,-240811.5809,654.813515
-35,1758.34042,-128650,-240811.5809,654.9009265
-35,1660.345368,-128550,-240811.5809,654.9883379
-31,1562.60438,-128450,-240811.5809,655.0757493
-31,1465.168303,-128350,-240811.5809,655.1631608
-28,1368.102285,-128250,-240811.5809,655.2505722
-28,1271.491082,-128150,-240811.5809,655.3379837
-24,1175.446842,-128050,-240811.5809,655.4253951
-24,1080.024611,-127950,-240811.5809,655.5128065
-22,985.159679,-127850,-240811.5809,655.600218
-22,891.417872,-127750,-240811.5809,655.6876294
-19,799.194627,-127650,-240811.5809,655.7750409
-19,709.082704,-127550,-240811.5809,655.8624523
-17,622.00041,-127450,-240811.5809,655.9498637
-17,529.053491,-127350,-240811.5809,655.968056
-13,438.335821,-127250,-240811.5809,656.0785416
-13,352.674052,-127150,-240811.5809,656.1890272
-7,276.041311,-127050,-240811.5809,656.2995127
-7,206.170626,-126950,-240811.5809,656.4099983
-1,139.538005,-126850,-240811.5809,656.5204838
-1,62.991746,-126750,-240811.5809,656.6309694
-44,1872.220258,-129050,-240711.5809,654.8438049
-44,1839.581872,-128950,-240711.5809,654.9038609
-39,1811.243256,-128850,-240711.5809,654.963917
-39,1787.380343,-128750,-240711.5809,655.023973
-35,1720.80041,-128650,-240711.5809,655.084029
-35,1631.159218,-128550,-240711.5809,655.1440851
-31,1542.791864,-128450,-240711.5809,654.8981312
-31,1445.210388,-128350,-240711.5809,654.9855427
-28,1346.70664,-128250,-240711.5809,655.0729541
-28,1248.44082,-128150,-240711.5809,655.1603655
-24,1150.473897,-128050,-240711.5809,655.247777
-24,1052.889309,-127950,-240711.5809,655.3351884
-22,955.804166,-127850,-240711.5809,655.4225999
-22,859.387754,-127750,-240711.5809,655.5100113
-19,763.829897,-127650,-240711.5809,655.5974227
-19,668.989973,-127550,-240711.5809,655.6848342
-17,575.87656,-127450,-240711.5809,655.7722456
-17,485.510084,-127350,-240711.5809,655.8596571
-13,399.757765,-127250,-240711.5809,655.9470685
-13,306.42152,-127150,-240711.5809,656.0253113
-7,214.790231,-127050,-240711.5809,656.1357969
-7,135.041052,-126950,-240711.5809,656.2462824
-1,68.497431,-126850,-240711.5809,656.356768
-1,1.131903,-126750,-240711.5809,656.4672536
-50,1951.051551,-129450,-240611.5809,651.0617141
-50,1904.821293,-129350,-240611.5809,651.2306621
-44,1861.212495,-129250,-240611.5809,650.7600937
-44,1817.715122,-129150,-240611.5809,650.938972
-39,1778.781768,-129050,-240611.5809,651.1178503
-39,1744.699282,-128950,-240611.5809,654.7205438
-35,1714.822796,-128850,-240611.5809,654.7805998
-35,1690.312956,-128750,-240611.5809,654.8406558
-31,1660.117624,-128650,-240611.5809,654.9007119
-31,1581.689633,-128550,-240611.5809,654.9607679
-28,1497.233004,-128450,-240611.5809,655.020824
-28,1407.562791,-128350,-240611.5809,655.08088
-25,1319.378397,-128250,-240611.5809,654.895336
-25,1232.481005,-128150,-240611.5809,654.9827474
-22,1133.801172,-128050,-240611.5809,655.0701589
-22,1034.645256,-127950,-240611.5809,655.1575703
-20,935.66902,-127850,-240611.5809,655.2449817
-20,836.936212,-127750,-240611.5809,655.3323932
-18,738.544467,-127650,-240611.5809,655.4198046
-18,640.650949,-127550,-240611.5809,655.5072161
-15,543.524927,-127450,-240611.5809,655.5946275
-15,447.635183,-127350,-240611.5809,655.6820389
-9,352.924316,-127250,-240611.5809,655.7694504
